date,D,H,H2,H3,H4,SinD,CosD,T
2001-06-25,7.0200000000000005,67.89999999999999,4610.409999999999,313046.83899999986,21255880.368099988,0.11,-0.99,3454
2001-07-09,7.0200000000000005,67.89999999999999,4610.409999999999,313046.83899999986,21255880.368099988,-0.13,-0.99,3468
2001-07-23,8.0,66.91999999999999,4478.286399999998,299686.9258879998,20055049.080424946,-0.36,-0.93,3482
2001-08-06,9.75,65.86999999999999,4338.856899999999,285800.50400299986,18825679.1986776,-0.57,-0.82,3496
2001-08-20,9.89,65.38,4274.5444,279469.71287199995,18271729.827571355,-0.75,-0.66,3510
2001-09-03,11.29,63.699999999999996,4057.6899999999996,258474.85299999994,16464848.136099996,-0.89,-0.46,3524
2001-09-17,12.62,60.61999999999999,3674.7843999999986,222765.4303279999,13504040.38648335,-0.97,-0.23,3538
2001-10-01,11.64,59.21999999999999,3507.008399999999,207685.0374479999,12299107.917670554,-1.0,0.0,3552
2001-10-15,10.59,59.00999999999999,3482.180099999999,205483.4477009999,12125578.248836003,-0.97,0.24,3566
2001-10-29,7.65,64.61,4174.4520999999995,269711.350181,17426050.33519441,-0.88,0.47,3580
2001-11-12,6.32,64.96,4219.801599999999,274118.3119359999,17806725.543362554,-0.75,0.66,3594
2001-11-26,6.390000000000001,65.86999999999999,4338.856899999999,285800.50400299986,18825679.1986776,-0.57,0.82,3608
2001-12-10,6.46,65.86999999999999,4338.856899999999,285800.50400299986,18825679.1986776,-0.35,0.94,3622
2001-12-25,4.619,62.99999999999999,3968.999999999999,250046.9999999999,15752960.999999993,-0.1,0.99,3637
2002-01-07,3.0300000000000002,61.31999999999999,3760.1423999999993,230571.93196799993,14138670.868277755,0.12,0.99,3650
2002-01-21,2.8200000000000003,60.55,3666.3025,221994.61637499998,13441774.021506248,0.35,0.94,3664
2002-02-04,2.330000000000001,62.36999999999999,3890.0168999999987,242620.3540529999,15132231.4822856,0.57,0.82,3678
2002-02-18,0.580000000000001,66.22,4385.0884,290380.553848,19229000.27581456,0.75,0.66,3692
2002-03-04,-0.1899999999999995,67.34,4534.6756000000005,305365.054904,20563282.797235366,0.88,0.47,3706
2002-03-18,-1.2399999999999984,69.86,4880.4196,340946.113256,23818495.47206416,0.97,0.24,3720
2002-04-02,-0.2599999999999998,71.53999999999999,5117.971599999999,366139.6882639999,26193633.29840655,1.0,-0.01,3735
2002-04-15,-0.8899999999999988,70.41999999999999,4958.976399999999,349211.1180879998,24591446.935756944,0.97,-0.23,3748
2002-04-29,1.8399999999999999,69.64999999999999,4851.122499999999,337880.6821249999,23533389.510006238,0.89,-0.46,3762
2002-05-13,0.79,70.28,4939.2784,347132.485952,24396471.11270656,0.75,-0.66,3776
2002-05-27,0.7200000000000006,70.77,5008.3929,354443.96553299995,25083999.440770403,0.57,-0.82,3790
